ID, Data[]
15040,20 2.582753 -0.4172297 -0.5587258 0 0 0 0 0 0 42 3.753147 -0.899781 -0.06376502 0 0 0 0 0 0 64 4.498372 -1.289928 0.3736098 0 0 0 0 0 0 86 5.023608 -1.473076 0.3718651 0 0 0 0 0 0 109 5.163726 -1.402564 -0.05144099 0 0 0 0 0 0 131 5.178565 -1.162394 -0.6061034 0 0 0 0 0 0 153 5.207998 -0.6641935 -0.9733498 0 0 0 0 0 0 176 4.966232 -0.2581243 -1.117575 0 0 0 0 0 0 198 4.683239 -0.3075908 -1.004919 0 0 0 0 0 0 220 4.389676 -0.4881583 -0.5743225 0 0 0 0 0 0 243 4.059219 -0.8431854 0.4871508 0 0 0 0 0 0 266 3.15076 -1.032943 1.293611 0 0 0 0 0 0 287 2.073132 -1.061079 1.650079 0 0 0 0 0 0 310 1.245974 -1.08123 2.032237 0 0 0 0 0 0 332 0.6764672 -1.134557 2.100399 0 0 0 0 0 0 
15800,20 0.4385239 -1.799116 0.5267252 0 0 0 0 0 0 42 1.397074 -1.804469 -0.07594424 0 0 0 0 0 0 65 2.221217 -1.771357 -0.4902859 0 0 0 0 0 0 87 2.769373 -1.790357 -0.2253454 0 0 0 0 0 0 110 3.489725 -1.926184 0.2756005 0 0 0 0 0 0 132 4.203742 -2.066952 0.2795013 0 0 0 0 0 0 154 4.978568 -2.102536 0.2509213 0 0 0 0 0 0 176 5.677977 -2.030933 0.01497674 0 0 0 0 0 0 198 6.328706 -1.95237 0.3822986 0 0 0 0 0 0 221 6.997815 -2.411898 1.49667 0 0 0 0 0 0 243 7.303268 -3.083876 2.32425 0 0 0 0 0 0 266 6.92113 -2.95351 2.816984 0 0 0 0 0 0 288 5.480384 -2.080653 2.46173 0 0 0 0 0 0 310 3.54858 -1.325654 1.100168 0 0 0 0 0 0 333 2.191606 -0.9041874 0.4255565 0 0 0 0 0 0 355 1.152987 -0.5587481 -0.02030468 0 0 0 0 0 0 
17542,22 -2.179499 -0.3348973 1.619423 0 0 0 0 0 0 44 -2.904031 -0.4178809 1.152984 0 0 0 0 0 0 66 -3.428859 -0.5217932 0.7094463 0 0 0 0 0 0 89 -3.721389 -0.6978467 0.7113708 0 0 0 0 0 0 111 -4.563844 -1.016186 0.6748079 0 0 0 0 0 0 134 -5.502234 -1.328176 0.6808871 0 0 0 0 0 0 156 -6.332095 -1.799466 1.364632 0 0 0 0 0 0 178 -6.940989 -2.009191 2.469379 0 0 0 0 0 0 200 -7.167176 -1.72651 2.432825 0 0 0 0 0 0 223 -7.091086 -1.016432 1.426066 0 0 0 0 0 0 245 -6.457685 -0.4142849 0.3059534 0 0 0 0 0 0 268 -5.482989 -0.2382586 -0.5441216 0 0 0 0 0 0 290 -4.643182 -0.490247 -1.093793 0 0 0 0 0 0 
18168,20 -1.995288 0.7718609 -0.1767225 0 0 0 0 0 0 43 -2.439906 1.131669 -0.211525 0 0 0 0 0 0 64 -3.247597 1.313684 -0.1083928 0 0 0 0 0 0 88 -4.80303 1.500591 -0.4238186 0 0 0 0 0 0 109 -5.956031 1.581822 -0.7107975 0 0 0 0 0 0 132 -6.755134 1.556888 -0.7608957 0 0 0 0 0 0 154 -7.416544 1.232781 -1.324285 0 0 0 0 0 0 176 -7.972474 0.7908819 -2.133753 0 0 0 0 0 0 200 -8.153844 0.246967 -2.288091 0 0 0 0 0 0 221 -7.696282 -0.4798712 -1.874111 0 0 0 0 0 0 243 -6.97214 -0.8376617 -1.608462 0 0 0 0 0 0 265 -5.507796 -0.9290739 -0.9315673 0 0 0 0 0 0 288 -4.047821 -0.6377381 -0.5415003 0 0 0 0 0 0 
18693,20 2.291278 -1.223618 -1.619117 0 0 0 0 0 0 42 3.471318 -1.430529 -1.591017 0 0 0 0 0 0 65 5.343797 -1.719012 -1.335579 0 0 0 0 0 0 87 7.472778 -2.023465 -0.7304605 0 0 0 0 0 0 110 9.228098 -2.430681 -0.2388831 0 0 0 0 0 0 131 9.612166 -2.482094 -0.1694179 0 0 0 0 0 0 154 8.901182 -2.491791 -0.1556845 0 0 0 0 0 0 176 7.372822 -2.32984 -0.4885451 0 0 0 0 0 0 
19285,20 1.289707 -0.6078229 -1.053934 0 0 0 0 0 0 42 1.012359 -0.7711664 -0.8993901 0 0 0 0 0 0 64 1.63964 -1.366503 -0.3934641 0 0 0 0 0 0 87 2.345253 -1.903029 -0.1314673 0 0 0 0 0 0 109 2.744541 -2.122307 0.2328968 0 0 0 0 0 0 131 3.294309 -2.179047 0.2262203 0 0 0 0 0 0 154 4.545416 -2.051763 -0.3892606 0 0 0 0 0 0 176 5.839226 -1.817067 -0.8353302 0 0 0 0 0 0 198 7.064744 -1.652288 -1.061225 0 0 0 0 0 0 221 8.242452 -1.770112 -0.614193 0 0 0 0 0 0 243 9.278568 -1.671438 -0.3484699 0 0 0 0 0 0 265 9.80134 -1.313348 -0.2954628 0 0 0 0 0 0 288 8.399393 -0.7194719 0.7299111 0 0 0 0 0 0 
19788,20 -1.61522 0.06958774 -0.006815732 0 0 0 0 0 0 43 -2.52789 -0.3734629 0.2276524 0 0 0 0 0 0 65 -3.67363 -0.7841295 0.2840376 0 0 0 0 0 0 87 -4.47243 -1.058927 0.3345499 0 0 0 0 0 0 109 -5.322416 -1.402997 1.1343 0 0 0 0 0 0 131 -6.528296 -1.932091 1.738729 0 0 0 0 0 0 154 -7.369589 -2.133097 1.803996 0 0 0 0 0 0 176 -7.714603 -2.13045 1.745321 0 0 0 0 0 0 198 -7.4094 -1.960563 1.141239 0 0 0 0 0 0 222 -6.823162 -1.627817 0.7299261 0 0 0 0 0 0 243 -6.608888 -1.418012 0.5552552 0 0 0 0 0 0 266 -6.09678 -1.28642 0.5750519 0 0 0 0 0 0 
20313,20 -2.322649 0.05256626 0.9782194 0 0 0 0 0 0 42 -3.191341 0.4060856 1.488387 0 0 0 0 0 0 64 -4.397154 0.7810465 0.632704 0 0 0 0 0 0 87 -6.138093 1.290328 -1.210808 0 0 0 0 0 0 109 -7.219234 1.468101 -2.244707 0 0 0 0 0 0 132 -8.669936 1.346481 -2.05455 0 0 0 0 0 0 154 -9.608854 0.8973193 -2.062751 0 0 0 0 0 0 176 -10.81744 0.2082851 -2.949257 0 0 0 0 0 0 199 -10.60282 -0.1299589 -1.987235 0 0 0 0 0 0 221 -8.218596 0.1917927 -1.847805 0 0 0 0 0 0 243 -5.38987 -0.07423973 -2.914835 0 0 0 0 0 0 
21207,20 1.009957 -1.390856 -0.8094999 0 0 0 0 0 0 42 2.169212 -1.347244 -0.5088983 0 0 0 0 0 0 64 3.112836 -1.098895 -1.377821 0 0 0 0 0 0 87 3.72039 -1.244684 -1.71868 0 0 0 0 0 0 109 4.06096 -1.503083 -1.143228 0 0 0 0 0 0 131 4.493868 -1.573557 -0.07533211 0 0 0 0 0 0 154 5.209983 -1.644952 0.7226873 0 0 0 0 0 0 176 5.613655 -1.67235 0.6261145 0 0 0 0 0 0 
21810,20 1.103568 -1.066574 -0.7013795 0 0 0 0 0 0 42 1.978775 -0.9244137 -0.8275062 0 0 0 0 0 0 65 3.060107 -0.7477733 -1.048751 0 0 0 0 0 0 87 3.594896 -0.9555882 -0.655286 0 0 0 0 0 0 110 3.954065 -1.638263 -0.1230927 0 0 0 0 0 0 131 4.286093 -2.301762 0.2450968 0 0 0 0 0 0 154 5.039521 -2.943576 0.3185974 0 0 0 0 0 0 176 6.269971 -3.150134 0.05840588 0 0 0 0 0 0 198 8.195139 -2.919934 -0.3168932 0 0 0 0 0 0 221 9.631529 -2.626491 -0.1243845 0 0 0 0 0 0 244 10.1438 -1.85689 -1.178581 0 0 0 0 0 0 266 9.362561 -0.8558145 -2.136899 0 0 0 0 0 0 288 7.02559 -0.656751 -0.5363198 0 0 0 0 0 0 
